model,imagenet_accuracy,param_count,depth,arch
vgg11,69.02,132.86,,VGG
vgg13,69.928,133.05,,VGG
vgg16,71.592,138.36,16,VGG
vgg19,72.376,143.67,19,VGG
resnet18,69.758,11.69,,ResNet
resnet34,73.314,21.8,,ResNet
resnet50,80.86,25.56,107,ResNet
resnet101,81.89,44.55,209,ResNet
resnet152,82.28,60.19,311,ResNet
alexnet,56.522,61,,AlexNet
efficientnet_b0,77.692,5.29,,EfficientNet
efficientnet_b1,79.84,7.79,,EfficientNet
efficientnet_b2,80.608,9.11,,EfficientNet
efficientnet_b3,82.008,12.23,,EfficientNet
efficientnet_b4,83.384,19.34,,EfficientNet
efficientnet_b5,83.444,30.39,,EfficientNet
efficientnet_b6,84.008,43.04,,EfficientNet
efficientnet_b7,84.122,66.35,,EfficientNet
convnext_tiny,82.52,28.59,,ConvNext
convnext_small,83.616,50.22,,ConvNext
convnext_base,84.062,88.59,,ConvNext
convnext_large,84.414,197.77,,ConvNext
vit_b_16,81.072,86.57,,VIT
vit_b_32,75.912,88.22,,VIT
vit_l_16,79.662,304.33,,VIT
vit_l_32,76.972,,,VIT
barlowtwins-rn50,71.8,25.56,107,
vicreg-rn50,73.2,25.56,107,
swav-rn50,74.92,25.56,107,
simclr-rn50,69.68,25.56,107,
mocov2-rn50,66.4,25.56,107,
rotnet-rn50,48.2,25.56,107,
jigsaw-rn50,48.57,25.56,107,
resnext50_32x4d,81.2,25.03,,ResNext
resnext101_32x8d,82.89,88.79,,ResNext
vit_tiny_patch16_224,75.464,5.72,,timm-VIT
vit_small_patch16_224,81.396,22.05,,timm-VIT
vit_small_patch32_224,75.99,22.88,,timm-VIT
vit_base_patch16_224,84.53,86.57,,timm-VIT
vit_base_patch32_224,80.724,88.22,,timm-VIT
vit_large_patch16_224,85.844,304.33,,timm-VIT
clip-ViT,76.1,,,clip-ViT
clip-RN,73.3,25.56,,clip-RN
vit-S_32-i21k,72.93,22.88,,
vit-B_16-i1k,77.66,86.57,,
vit-L_16-i1k,75.112,304.33,,
vit-B_32-i1k,72.078,88.22,,
vit-S_32-i1k,72.176,22.88,,
vit-B_32-i21k,79.162,88.22,,
vit-B_16-i21k,83.774,86.57,,
vit-L_16-i21k,83.134,304.33,,
resnet_v1_50_tpu_softmax_seed0,76.942,,,
resnet_v1_50_tpu_label_smoothing_seed0,77.626,,,
resnet_v1_50_tpu_sigmoid_seed0,78.178,,,
resnet_v1_50_tpu_extra_wd_seed0,77.816,,,
resnet_v1_50_tpu_dropout_seed0,77.422,,,
resnet_v1_50_tpu_logit_penalty_seed0,77.666,,,
resnet_v1_50_tpu_nt_xent_seed0,77.834,,,
resnet_v1_50_tpu_nt_xent_weights_seed0,77.856,,,
resnet_v1_50_tpu_squared_error_seed0,77.126,,,
resnet_v1_50_tpu_autoaugment_seed0,77.64,,,
resnet_v1_50_tpu_mixup_seed0,77.92,,,
densenet_121_keras-retrained-no_ls,75.64399838,,,
densenet_169_keras-retrained-no_ls,76.7260015,,,
densenet_201_keras-retrained-no_ls,77.13599801,,,
inception_resnet_v2-retrained-no_ls-no_dropout-no_aux,80.25599718,,,
inception_v1-retrained-no_ls+scale-no_dropout,73.62800241,,,
inception_v2-retrained-no_ls+scale-no_dropout,75.33599734,,,
inception_v3-retrained-no_ls-no_dropout-no_aux,78.63600254,,,
inception_v4-retrained-no_ls-no_dropout-no_aux,79.91799712,,,
mobilenet_v1-retrained-no_ls,72.3879993,,,
mobilenet_v2-retrained-no_ls-no_dropout,71.66600227,,,
mobilenet_v2_1,74.65800047,,,
nasnet_large-retrained-no_ls-no_dropout-no_aux,80.76800108,,,
nasnet_mobile-retrained-no_ls-no_dropout-no_aux,73.56799841,,,
resnet_v1_50_tpu-retrained-no_ls,76.92800164,,,
resnet_v1_101_tpu-retrained-no_ls,78.55799794,,,
resnet_v1_152_tpu-retrained-no_ls,79.28799987,,,
vit-G_14_224,89.012,,,
basic-l,89.454,,,
align,85.114,,,
clip_ViT-B/32,76.1,,,
clip_ViT-B/16,80.2,,,
clip_ViT-L/14,83.9,,,
clip_RN50,73.3,,,
clip_RN101,75.7,,,
clip_RN50x4,78.2,,,
clip_RN50x16,81.5,,,
clip_RN50x64,83.6,,,
