model,imagenet_accuracy,param_count,depth,arch
vgg11,69.020,132.86,,VGG
vgg13,69.928,133.05,,VGG
vgg16,71.592,138.36,16,VGG
vgg19,72.376,143.67,19,VGG
resnet18,69.758,11.69,,ResNet
resnet34,73.314,21.8,,ResNet
resnet50,76.130,25.56,107,ResNet
resnet101,77.374,44.55,209,ResNet
resnet152,78.312,60.19,311,ResNet
alexnet,56.522,61,,AlexNet
efficientnet_b0,77.692,5.29,,EfficientNet
efficientnet_b1,78.642,7.79,,EfficientNet
efficientnet_b2,80.608,9.11,,EfficientNet
efficientnet_b3,82.008,12.23,,EfficientNet
efficientnet_b4,83.384,19.34,,EfficientNet
efficientnet_b5,83.444,30.39,,EfficientNet
efficientnet_b6,84.008,43.04,,EfficientNet
efficientnet_b7,84.122,66.35,,EfficientNet
convnext_tiny,82.520,28.59,,ConvNext
convnext_small,83.616,50.22,,ConvNext
convnext_base,84.062,88.59,,ConvNext
convnext_large,84.414,197.77,,ConvNext
vit_b_16,81.072,86.57,,VIT
vit_b_32,75.912,88.22,,VIT
vit_l_16,79.662,304.33,,VIT
vit_l_32,76.972,,,VIT
r50-barlowtwins,71.80,25.56,107,
r50-vicreg,73.20,25.56,107,
r50-swav,74.92,25.56,107,
r50-simclr,69.68,25.56,107,
r50-mocov2,66.4,25.56,107,
r50-rotnet,54.928,25.56,107,
r50-jigsaw,48.57,25.56,107,
resnext50_32x4d,81.108,25.03,,ResNext
resnext101_32x8d,79.316,88.79,,ResNext
